exp,fake,subject,length_fake,length_subject,part_1_sum_between_head,part_1a_sum_between_head,part_1b_sum_between_head,part_2_sum_between_head,part_2a_sum_between_head,part_2b_sum_between_head
ZMAJ13,red,green,1.63490531175203,1.6283199253874,573402.035122089,282895.893023866,287135.308847129,874587.447130511,427467.53150857,442193.550578912
WINX24,green,red,1.5648693330449,1.74356266027539,527304.130844925,262976.7713,261209.568331677,733267.822708841,369833.768466177,355752.521952896
VIKI2016,red,green,1.65153917563864,1.6903304927363,562684.236042106,262061.792676431,279135.375206806,761095.879260703,389295.985750946,360895.431023938
TRUNKS20,red,green,1.58668250225901,1.6025690093508,598766.268324985,302822.780396684,285656.752479972,765039.215629261,393290.136275805,360921.544601797
TRAVANJ,red,green,1.75331339516503,1.58593100897594,568427.971622179,274593.43409107,283043.706968092,793200.291919456,380576.665950791,392804.411034212
TALULA,red,green,1.62766637823064,1.56664566222924,786119.941436806,388527.445038078,383505.686840923,878489.446916284,409102.722293252,429438.687522578
SZ2000,green,red,1.54208715856191,1.67742130407322,523654.836054791,268989.126294394,281392.384600019,738525.499022243,368440.170758555,375094.027932777
SUNCE,red,green,1.5195714925362,1.57095441145086,594728.04147451,286667.908409531,301351.550506766,888944.538690396,442074.509364928,441829.552340747
SQ537,red,green,1.59759260545201,1.59008864458685,480024.193849302,236917.190373238,239089.063909905,737284.358138334,371898.146541417,361702.782217907
SIRMIRBALON16,red,green,1.64424281775873,1.64242221736382,622140.770896282,310228.96607047,304820.070144125,799791.576518928,400661.513178941,396018.609222217
RHCP,green,red,1.51555487822797,1.66021477646502,720074.617005507,359437.882532909,355508.907219514,793605.608069414,393077.029429763,396037.504365949
RAP2312,green,red,1.61392863216272,1.6174163858669,444007.03804616,223286.206953634,215418.679740392,677012.431347858,335464.427162215,340126.712190604
PURPLE,red,green,1.64330108773115,1.85896309666019,710834.314164249,348144.93241138,357281.505722537,837435.036860503,422741.367971419,413856.494192507
POTATO1337,red,green,1.65922663952488,1.6724306482437,482681.278489827,234742.006307073,245182.37556334,880307.449108028,442866.668909767,427773.764891865
POL29,green,red,1.58493785503919,1.62947902344732,701164.429001286,350079.959111808,348717.153918379,734627.495849314,368059.626524284,362487.578677271
PETAK17,green,red,1.5394867793488,1.73571863128159,489418.093491197,236576.281887177,247159.883171383,922283.239468497,459368.280868272,453849.471750935
NN73,green,red,1.5054213101918,1.53265190028269,594296.395407379,293941.756386695,296515.273966374,690204.664792493,340436.373897076,340324.030056114
NHT1950,red,green,1.50871657453447,1.66378828824039,482300.366094364,233398.782127114,246336.234121762,808196.374880983,399183.728344075,398671.583086046
NEZNAM,green,red,1.63612875595152,1.61726200930713,528125.936438057,267585.801211886,257993.049985232,766412.309235077,407809.24833241,303974.930927855
N1973,red,green,1.53286693927911,1.67348947221498,570890.672533993,275083.037999193,291298.669600457,781376.189263603,394129.025396355,382858.625263397
MYS058,green,red,1.65175383533874,1.74857765682855,538715.220208809,272345.581815701,263406.880323041,859325.791642448,438505.73839391,431307.957567554
MORGAN1,green,red,1.50768515769801,1.47635522761001,666682.039221829,332604.411397758,330877.540233015,892623.484527525,439130.492231959,448511.10529759
MONO509,green,red,1.6725606441015,1.74269050636497,759016.58128661,385218.999257269,366305.759352037,882175.913251625,440793.081846947,435404.833184874
MIS,green,red,1.50290200203439,1.6686085751272,569128.627382163,271881.984087175,294041.30008374,837349.717285796,416004.786600281,421820.784200366
MEFISTO87,red,green,1.63645188134672,1.60144308156682,489850.154992226,302190.547470945,182968.623844266,862633.868102699,421773.139821201,416280.451268741
MARELICA2,red,green,1.52579700068088,1.70025081695937,576707.894889607,281539.067450594,292263.329606462,0,0,0
LUMINACA,green,red,1.61065235054965,1.6236673692059,558644.296446877,277924.716519558,269559.521867766,736576.626374691,366653.81470225,366086.210086708
LEON1,red,green,1.63685396313765,1.61268858401148,613668.736758692,313817.179215313,295984.907224023,735010.541545391,374102.171035106,364569.784651108
KOALA2,green,red,1.64082614181434,1.68576926546054,906181.494176385,448629.3129178,452619.69558536,799194.60136048,410716.534352972,370187.581412208
KKIM,red,green,1.58485285906037,1.64733593335748,651615.753562033,329145.256930643,318874.185275539,667150.105978437,326863.231317409,333925.067907702
IG1963,red,green,1.61823446113593,1.59325427513319,883640.398594042,435887.606167914,443096.447977797,721418.781316483,359060.589539186,354276.72115607
GUG1975,red,green,1.55771248313221,1.59874093505564,607353.552754754,294820.003955647,306442.560873427,777661.917040584,382323.725997349,385475.220230535
FORSKY,red,green,1.52831516550601,1.57322707453946,603434.472775373,284201.293694044,310920.996860042,780310.247439184,405922.866840481,373775.333710528
DEA1,red,green,1.63191214294822,1.68397088762583,656939.321676939,325345.455383013,327720.661873266,699595.452411474,354051.932269786,349338.459580511
COKOLINO,red,green,1.54561957648917,1.76765726902372,737166.259976453,362105.245110628,368337.55311326,851846.053018764,422770.20764123,425102.682353306
CLOSER,red,green,1.55986631134225,1.62180621168179,641783.395751722,318130.690584674,319938.752285381,833666.270942483,423114.87901466,386026.715097221
BLABLA9,green,red,1.493861879497,1.63827272538541,599414.226520484,291668.55754408,303290.231783791,796379.688232233,384690.403881661,400380.37532525
BL2304,red,green,1.54841768220387,1.63436454671971,688149.652569289,346132.817044559,337808.616855558,764428.185689171,366336.046969358,388399.363366309
ARVEN,red,green,1.74602402338923,1.62697337479944,553063.366866883,286513.467653314,263431.974035166,757153.996303734,384585.612345506,374078.395151204
AMNB1301,red,green,1.59621603933271,1.58077988097619,582698.191979454,289001.201857702,289726.591211785,653958.441658263,355624.471974441,290324.501349136
AFORTSAT,green,red,1.66815003756616,1.7276628115951,675542.336361058,332590.556707422,339030.501872064,728565.901732995,361612.622465297,357908.580969423
AE1992,red,green,1.73823516662663,1.51548120500473,621406.576286197,300637.980996413,317318.616813819,772325.365136274,382214.131822104,384611.80702863
AA2210,red,green,1.54985610047466,1.66228989119975,656657.289576154,320197.115313011,331708.909570086,745581.982595869,370264.964396523,368163.303674909
89MNXFD,red,green,1.7190365622692,1.85006542630149,615235.452740558,319270.016897352,288261.855826268,652516.015322399,325796.013921568,321377.583682522
73456,green,red,1.64749474606581,1.75617983854226,615018.0736082,306870.892341986,303451.549515493,812539.156148508,408579.760591828,399462.130723035
70397,red,green,1.55049147819629,1.66244171273603,781898.030222223,387333.093535836,388620.944126179,861990.081325211,422253.718778383,407257.48082779
70299,red,green,1.62396294527062,1.68422083454994,515116.172981509,262019.503512787,249135.28464424,818652.118900905,402707.523344871,398155.626612484
5262,green,red,1.52844332388889,1.66833100838163,684749.301748833,325099.659398223,353726.575607486,774867.451205314,388938.292780663,381679.445491401
5214,red,green,1.68151182643993,1.5666669645516,575059.763557783,284425.443004014,289586.252564967,739540.394325083,366926.66718418,371985.300253888
4363,red,green,1.62067415754672,1.55797590610901,689495.473143957,335015.336736561,350578.302639822,845968.481876674,422356.140542728,411765.467600695
4009TRB,red,green,1.70496741072761,1.661988976812,632866.032457394,314821.779049693,308755.467800827,0,0,0
3494,red,green,1.65625344289272,1.68815664075054,538822.830269446,263910.985952184,267637.744723529,729514.232351637,361076.718800856,357772.995595982
32000,red,green,1.6474492984456,1.70297747921145,510199.966647995,257615.221076156,247592.205679662,929937.00913949,464732.564628051,445889.22153608
270817,green,red,1.64942350447241,1.59871019283369,680351.543262703,334040.179224784,345736.229945025,829785.346334724,423654.094932486,401487.515475357
27057,green,red,1.62414284421826,1.77671455889735,445468.769964046,225019.234986449,218685.188473318,771264.776268252,394722.123364088,366365.382550942
270194,red,green,1.50912668089164,1.55284607891555,694261.016230617,344964.691104079,343788.60403542,774024.433693857,379822.242928399,387226.513603896
2311,red,green,1.65411435400719,1.71143104194445,551662.454681985,280939.490730501,267528.351678796,787439.710590647,377601.555821113,376063.560841942
210520,red,green,1.70837695097641,1.67085024625396,585706.552531735,294837.192880963,297020.858590702,779469.720961489,385591.75005752,391208.71193005
201899,green,red,1.59443200246005,1.68205322718452,499709.157646458,240702.621903143,256229.736339167,781243.397749027,399497.444859047,404528.761777132
19082017,red,green,1.66231958108173,1.58802364573244,687054.590499775,356369.300673354,318098.279651883,876624.05599653,430402.558051448,440323.297098208
1809,red,green,1.70616716970017,1.59754227035383,552287.713309902,270710.536930945,270468.619092801,705938.139026012,357061.518988912,343436.491541833
1805,green,red,1.59095843806355,1.68858428029441,682209.339456382,326913.824536725,351650.879846315,952728.454494807,471592.820997543,475935.511704363
170516,green,red,1.57897774456815,1.40800635811215,700255.681779381,353917.063503511,336459.527882452,831090.645709847,408666.327311277,417665.055612085
1598,red,green,1.6442792097101,1.54038415425754,749668.904755899,364248.040648839,378278.185407353,838642.649150782,415876.627056748,410695.220517579
150717,red,green,1.4845398586224,1.6691227600044,673795.79644067,326795.454899847,336973.303769447,767100.213588724,379281.120801545,382988.165231522
1407,red,green,1.4961547520706,1.6617522757169,480173.345427993,237859.957103435,238889.909346094,644095.769590614,384525.919646033,257475.428987045
123SUNCE,green,red,1.64097163665831,1.59311388441564,561436.15744413,259641.465932656,293988.169100942,873975.989914697,440878.323654894,426998.945218284
123PATULJAK,green,red,1.63203514430166,1.64619129899583,701625.217829574,354876.792564289,341629.195385669,858642.966849359,429751.906458667,424620.308682203
1121998,red,green,1.58754036455115,1.56988328373291,668640.353869013,323697.895709415,337991.981432797,821454.557557863,410109.617959841,403515.963581823
0125,red,green,1.61744119482769,1.64655132621025,540753.826990195,258188.967055946,284712.87325931,840566.960178905,417232.178130871,412543.991162331
0101M,red,green,1.64018742906487,1.62070257586012,566691.502873372,282327.827604506,279985.759454603,918885.91135214,445709.504394401,467939.354556871
